Year,Month,Active Agents,Total Registered Mobile Money Accounts (Millions),Total Agent Cash in Cash Out (Volume Million),Total Agent Cash in Cash Out (Value KSh billions)
2017,August,167353,35.33,120.65,286.34
2017,July,169480,34.58,128.11,308.89
2017,June,165109,34.18,125.9,299.79
2017,May,164674,34.21,132.46,315.45
2017,April,160076,34.29,128.89,297.44
2017,March,157855,33.92,133.34,320.18
2017,February,154908,33.29,117.5,279.39
2017,January,152547,33.34,122.03,299.49
2016,December,165908,34.96,126.35,316.77
2016,November,162441,34.28,120.93,291.23
2016,October,181456,34.04,122.45,292.09
2016,September,173731,33.44,112.59,284.06
2016,August,173774,32.76,114.16,297.23
2016,July,167072,32.34,110.51,281.85
2016,June,162465,31.39,106.34,270.97
2016,May,156349,31.3,107.82,277.94
2016,April,153762,31.44,105.51,269.82
2016,March,150987,30.7,107.86,273.59
2016,February,148982,29.49,100.98,257.19
2016,January,146710,29.1,95.52,242.37
2015,December,143946,28.64,107.44,267.07
2015,November,142386,28.06,101.33,236.37
2015,October,140612,27.54,102.75,255.81
2015,September,138131,27.31,96.32,247.51
2015,August,136042,27.05,94.12,248.15
2015,July,133989,26.74,94,238.86
2015,June,131761,26.5,90.67,227.92
2015,May,129735,26.46,89.9,230.15
2015,April,129218,26.14,84.91,213.75
2015,March,128591,25.69,90.35,231.84
2015,February,127187,25.46,80.74,208.13
2015,January,125826,25.4,81.65,210.54
2014,December,123703,25.25,85.61,225.55
2014,November,121419,24.95,81,203.24
2014,October,128706,26,82.89,210.28
2014,September,124179,26.3,78.17,206.34
2014,August,124708,26.33,78.9,206.72
2014,July,122462,26.23,77.47,200.99
2014,June,120781,25.93,74.03,189.91
2014,May,117807,25.82,74.55,198.13
2014,April,116581,26.14,72.1,186.66
2014,March,116196,26.21,73.98,192.7
2014,February,115015,26.12,65.59,172.8
2014,January,114107,25.76,67.05,178.48
2013,December,113130,25.33,69.14,182.5
2013,November,112947,24.9,68.7,175.22
2013,October,111697,24.43,68.27,175.29
2013,September,110432,23.97,63.43,165.59
2013,August,108559,23.87,64.71,168.1
2013,July,105669,24.27,62.71,162.76
2013,June,103165,23.75,60.03,152.5
2013,May,100584,23.47,60.34,158.77
2013,April,96319,23.02,56,142.61
2013,March,93211,22.33,52.39,134.45
2013,February,88393,21.8,53.47,141.13
2013,January,85548,21.42,53.41,142.65
2012,December,76912,21.06,55.96,150.16
2012,November,75226,20.25,53.56,138.99
2012,October,70972,20.02,51.89,137.68
2012,September,67301,19.71,48.94,130.69
2012,August,64439,19.38,49.7,131.38
2012,July,63165,19.58,49.35,129.28
2012,June,61313,19.8,47.88,124.02
2012,May,59057,19.69,47.97,128.4
2012,April,56717,19.53,44.35,117.36
2012,March,55726,19.24,45.76,126.09
2012,February,53685,18.79,41.78,116.69
2012,January,52315,18.83,40.24,114.06
2011,December,50471,19.19,41.71,118.08
2011,November,49091,19.46,41.18,112.33
2011,October,47874,19.21,40.55,109.12
2011,September,46234,18.89,39.21,108.62
2011,August,44762,18.61,39.3,107.42
2011,July,43577,18.31,37.98,99.71
2011,June,42840,18.15,35.82,92.64
2011,May,38485,17.92,35.35,94.37
2011,April,37309,17.76,32.43,86.09
2011,March,36198,17.47,32.73,89
2011,February,34572,16.89,28.55,76.34
2011,January,33968,16.69,28.2,75.43
2010,December,39449,16.45,29.12,75.87
2010,November,38201,16.08,30.04,70.27
2010,October,37009,15.73,31.32,71.79
2010,September,35373,15.22,29.45,68.51
2010,August,33864,14.59,26.82,61.53
2010,July,32974,13.47,26.92,61.77
2010,June,31902,10.91,25.03,58.1
2010,May,31036,10.49,24.7,58.08
2010,April,29570,10.2,22.69,51.81
2010,March,27622,9.97,24.08,56.12
2010,February,25394,9.67,20.81,49.91
2010,January,24850,9.48,20.08,48.46
2009,December,23012,8.88,21.69,52.34
2009,November,22476,8.62,19.98,47.47
2009,October,20631,8.37,19.92,48.64
2009,September,19803,8.02,18.37,45.37
2009,August,18780,7.71,17.01,40.68
2009,July,18504,7.43,16.9,40.34
2009,June,16641,7.19,15.98,38.18
2009,May,16029,6.84,15.05,36.81
2009,April,14790,6.53,13.78,34.02
2009,March,13358,6.29,13.55,33.82
2009,February,7512,5.82,11.08,28.69
2009,January,7304,5.48,10.19,27.07
2008,December,6104,5.08,10.21,26.99
2008,November,5399,4.75,8.57,21.7
2008,October,4781,4.42,8.3,21.6
2008,September,4230,4.14,7.15,19.27
2008,August,3761,3.73,6.34,16.76
2008,July,3378,3.37,5.39,14.02
2008,June,3011,3.04,4.2,10.92
2008,May,2770,2.72,4.02,10.9
2008,April,2606,2.37,3.07,8.39
2008,March,2329,2.08,2.4,6.75
2008,February,2067,1.82,1.74,5.22
2008,January,1812,1.59,1.35,4.06
2007,December,1582,1.35,1.27,3.77
2007,November,1379,1.13,1.22,3.51
2007,October,1196,0.88,0.96,2.83
2007,September,960,0.64,0.67,2.07
2007,August,819,0.43,0.52,1.58
2007,July,681,0.27,0.35,1.07
2007,June,527,0.18,0.23,0.72
2007,May,447,0.11,0.15,0.48
2007,April,362,0.05,0.07,0.22
2007,March,307,0.02,0.02,0.06
